query acc.ver,subject acc.ver,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score,% positives
seq_0_iron_aquisition-siderophore_transport_potential,WP_002867816.1,99.228,259,2,0,1,259,1,259,0.0,513.0,99.61
seq_0_iron_aquisition-siderophore_transport_potential,WP_002859784.1,99.228,259,2,0,1,259,1,259,0.0,511.0,99.23
seq_0_iron_aquisition-siderophore_transport_potential,WP_002876984.1,98.456,259,4,0,1,259,1,259,0.0,508.0,98.46
seq_0_iron_aquisition-siderophore_transport_potential,WP_012006621.1,98.069,259,5,0,1,259,1,259,0.0,506.0,98.07
seq_0_iron_aquisition-siderophore_transport_potential,WP_002868764.1,97.683,259,6,0,1,259,1,259,0.0,506.0,98.46
seq_1_iron_aquisition-siderophore_transport,WP_002851986.1,98.876,267,3,0,1,267,1,267,0.0,513.0,99.63
seq_1_iron_aquisition-siderophore_transport,WP_002860605.1,98.876,267,3,0,1,267,1,267,0.0,513.0,99.63
seq_1_iron_aquisition-siderophore_transport,WP_014516903.1,98.876,267,3,0,1,267,1,267,0.0,512.0,99.63
seq_1_iron_aquisition-siderophore_transport,WP_002857348.1,97.753,267,6,0,1,267,1,267,0.0,509.0,99.63
seq_1_iron_aquisition-siderophore_transport,WP_010891838.1,97.753,267,6,0,1,267,1,267,0.0,507.0,98.88
seq_2_iron_aquisition-siderophore_transport,WP_002866753.1,100.0,294,0,0,1,294,1,294,0.0,597.0,100.0
seq_2_iron_aquisition-siderophore_transport,WP_014516905.1,97.635,296,5,1,1,294,1,296,0.0,580.0,97.97
seq_2_iron_aquisition-siderophore_transport,WP_002864655.1,96.622,296,8,1,1,294,1,296,0.0,578.0,97.97
seq_2_iron_aquisition-siderophore_transport,WP_002858739.1,96.622,296,8,1,1,294,1,296,0.0,578.0,97.97
seq_2_iron_aquisition-siderophore_transport,WP_011049595.1,96.284,296,9,1,1,294,1,296,0.0,578.0,98.31
seq_2_iron_aquisition-siderophore_transport,ETN90170.1,96.396,222,6,1,75,294,1,222,1.12e-156,434.0,97.3
seq_2_iron_aquisition-siderophore_transport,ETN90171.1,95.556,45,2,0,1,45,1,45,1.62e-23,88.6,97.78
seq_3_iron_gene_regulation,WP_002854244.1,100.0,131,0,0,1,131,6,136,7.72e-94,264.0,100.0
seq_3_iron_gene_regulation,WP_002876900.1,99.237,131,1,0,1,131,6,136,3.6299999999999997e-93,263.0,99.24
seq_3_iron_gene_regulation,WP_002858684.1,97.71,131,3,0,1,131,6,136,2.04e-91,258.0,98.47
seq_4_iron_gene_regulation,WP_002854230.1,100.0,157,0,0,1,157,1,157,5.6300000000000006e-117,325.0,100.0
seq_4_iron_gene_regulation,WP_002867785.1,99.363,157,1,0,1,157,1,157,2.53e-116,323.0,99.36
seq_4_iron_gene_regulation,ETJ81858.1,100.0,79,0,0,79,157,1,79,3.7100000000000003e-56,168.0,100.0
seq_4_iron_gene_regulation,ETJ81859.1,98.734,79,1,0,1,79,1,79,1.7299999999999997e-52,159.0,98.73
seq_5_iron_aquisition-siderophore_transport,WP_002868903.1,98.718,390,5,0,1,390,1,390,0.0,766.0,99.49
seq_5_iron_aquisition-siderophore_transport,WP_002852311.1,99.231,390,3,0,1,390,1,390,0.0,766.0,99.74
